,0
0,alabama
1,alaska
2,arizona
3,arkansas
4,california
5,colorado
6,connecticut
7,delaware
8,florida
9,georgia
10,hawaii
11,idaho
12,illinois
13,indiana
14,iowa
15,kansas
16,kentucky
17,louisiana
18,maine
19,maryland
20,massachusetts
21,michigan
22,minnesota
23,mississippi
24,missouri
25,montana
26,nebraska
27,nevada
28,new hampshire
29,new jersey
30,new mexico
31,north carolina
32,north dakota
33,oklahoma
34,oregon
35,pennsylvania
36,rhode island
37,south carolina
38,south dakota
39,tennessee
40,texas
41,utah
42,vermont
43,virginia
44,washington
45,west virginia
46,wisconsin
